datetime,site_id,depth,observation,variable
2026-07-13 12:00:00,ORMS,0.0,0.02108181882739523,M1
2026-07-13 12:00:00,ORMS,0.0,-0.012553946507152568,M2
2026-07-13 12:00:00,ORMS,0.0,0.7097397827450144,Ws
2026-07-13 12:00:00,ORMS,0.0,8.058347513863635e-08,b_var
2026-07-13 12:00:00,ORMS,0.0,0.5859848709555175,eta
2026-07-13 12:00:00,ORMS,0.0,-0.5954868794735617,m_ratio
2026-07-13 12:00:00,ORMS,0.0,0.000721964119893094,n2_max
2026-07-13 12:00:00,ORMS,0.0,-0.0008768699505459894,n2_therm
2026-07-13 12:00:00,ORMS,0.0,2.0776083859752603e-05,z_fluc
2026-07-13 12:00:00,ORMS,0.0,2.2415101998435216,z_n2
2026-07-13 12:00:00,ORMS,0.0,3.5,z_therm
2026-07-13 12:00:00,ORMS,0.5,21.667763697353706,temperature
2026-07-13 12:00:00,ORMS,1.0,21.64353335818114,temperature
2026-07-13 12:00:00,ORMS,2.0,21.546563548266864,temperature
2026-07-13 12:00:00,ORMS,3.0,21.215654118524043,temperature
2026-07-13 12:00:00,ORMS,4.0,21.619351472232577,temperature
2026-07-14 12:00:00,ORMS,0.0,-7.600700469077783e-06,M1
2026-07-14 12:00:00,ORMS,0.0,-0.012922140166054866,M2
2026-07-14 12:00:00,ORMS,0.0,-0.0062110154907475965,Ws
2026-07-14 12:00:00,ORMS,0.0,8.766262831540656e-09,b_var
2026-07-14 12:00:00,ORMS,0.0,-0.0006406034730161165,eta
2026-07-14 12:00:00,ORMS,0.0,1700.124905411876,m_ratio
2026-07-14 12:00:00,ORMS,0.0,0.00024695606168063407,n2_max
2026-07-14 12:00:00,ORMS,0.0,0.00024671115577472996,n2_therm
2026-07-14 12:00:00,ORMS,0.0,-1.818313422052853e-07,z_fluc
2026-07-14 12:00:00,ORMS,0.0,1.4833106276835042,z_n2
2026-07-14 12:00:00,ORMS,0.0,1.3,z_therm
2026-07-14 12:00:00,ORMS,0.5,21.758701657458563,temperature
2026-07-14 12:00:00,ORMS,1.0,21.98911602209945,temperature
2026-07-14 12:00:00,ORMS,2.0,21.87828729281768,temperature
2026-07-14 12:00:00,ORMS,3.0,21.94828729281768,temperature
2026-07-14 12:00:00,ORMS,4.0,22.02828729281768,temperature
2026-07-15 12:00:00,ORMS,0.0,0.04211929474132185,M1
2026-07-15 12:00:00,ORMS,0.0,-0.013086017799666508,M2
2026-07-15 12:00:00,ORMS,0.0,1.4086207547539311,Ws
2026-07-15 12:00:00,ORMS,0.0,1.769750201919136e-07,b_var
2026-07-15 12:00:00,ORMS,0.0,0.7903979369184092,eta
2026-07-15 12:00:00,ORMS,0.0,-0.31068938547131575,m_ratio
2026-07-15 12:00:00,ORMS,0.0,0.0011488058129733149,n2_max
2026-07-15 12:00:00,ORMS,0.0,0.0011444442180539548,n2_therm
2026-07-15 12:00:00,ORMS,0.0,4.125513315789142e-05,z_fluc
2026-07-15 12:00:00,ORMS,0.0,1.6398828575609021,z_n2
2026-07-15 12:00:00,ORMS,0.0,1.3,z_therm
2026-07-15 12:00:00,ORMS,0.5,22.929386113232248,temperature
2026-07-15 12:00:00,ORMS,1.0,23.925478891676665,temperature
2026-07-15 12:00:00,ORMS,2.0,23.44964805825243,temperature
2026-07-15 12:00:00,ORMS,3.0,23.603632595178357,temperature
2026-07-15 12:00:00,ORMS,4.0,23.56437111377768,temperature
2026-07-16 12:00:00,ORMS,0.0,0.6541196065275086,M1
2026-07-16 12:00:00,ORMS,0.0,0.07968092921701367,M2
2026-07-16 12:00:00,ORMS,0.0,22.03431325482117,Ws
2026-07-16 12:00:00,ORMS,0.0,2.9926531320410928e-05,b_var
2026-07-16 12:00:00,ORMS,0.0,0.943249381042313,eta
2026-07-16 12:00:00,ORMS,0.0,0.1218140053009751,m_ratio
2026-07-16 12:00:00,ORMS,0.0,0.011161038194287033,n2_max
2026-07-16 12:00:00,ORMS,0.0,0.010709365820133673,n2_therm
2026-07-16 12:00:00,ORMS,0.0,0.0006448523547308849,z_fluc
2026-07-16 12:00:00,ORMS,0.0,1.8930230642129584,z_n2
2026-07-16 12:00:00,ORMS,0.0,1.3,z_therm
2026-07-16 12:00:00,ORMS,0.5,24.44571428571429,temperature
2026-07-16 12:00:00,ORMS,1.0,23.51,temperature
2026-07-16 12:00:00,ORMS,2.0,18.724285714285713,temperature
2026-07-16 12:00:00,ORMS,3.0,17.72285714285714,temperature
2026-07-16 12:00:00,ORMS,4.0,16.59714285714286,temperature
2026-07-17 12:00:00,ORMS,0.0,0.737596869140628,M1
2026-07-17 12:00:00,ORMS,0.0,0.07697373056110343,M2
2026-07-17 12:00:00,ORMS,0.0,24.839233423630635,Ws
2026-07-17 12:00:00,ORMS,0.0,3.837754490256522e-05,b_var
2026-07-17 12:00:00,ORMS,0.0,0.9393138787201394,eta
2026-07-17 12:00:00,ORMS,0.0,0.1043574529414493,m_ratio
2026-07-17 12:00:00,ORMS,0.0,0.012989697692389425,n2_max
2026-07-17 12:00:00,ORMS,0.0,0.012415297874125382,n2_therm
2026-07-17 12:00:00,ORMS,0.0,0.0007269954204576212,z_fluc
2026-07-17 12:00:00,ORMS,0.0,1.866037073144371,z_n2
2026-07-17 12:00:00,ORMS,0.0,1.3,z_therm
2026-07-17 12:00:00,ORMS,0.5,25.0616228144911,temperature
2026-07-17 12:00:00,ORMS,1.0,24.212281560480363,temperature
2026-07-17 12:00:00,ORMS,2.0,18.78669616873983,temperature
2026-07-17 12:00:00,ORMS,3.0,17.778367685596326,temperature
2026-07-17 12:00:00,ORMS,4.0,16.56806296448503,temperature
2026-07-18 12:00:00,ORMS,0.0,0.6695782499593879,M1
2026-07-18 12:00:00,ORMS,0.0,0.08941327712959765,M2
2026-07-18 12:00:00,ORMS,0.0,22.556251036220345,Ws
2026-07-18 12:00:00,ORMS,0.0,3.121015853240379e-05,b_var
2026-07-18 12:00:00,ORMS,0.0,0.9454970298616798,eta
2026-07-18 12:00:00,ORMS,0.0,0.13353671081015678,m_ratio
2026-07-18 12:00:00,ORMS,0.0,0.011437616508953878,n2_max
2026-07-18 12:00:00,ORMS,0.0,0.010969837952094014,n2_therm
2026-07-18 12:00:00,ORMS,0.0,0.0006601413776503584,z_fluc
2026-07-18 12:00:00,ORMS,0.0,1.9252279243141701,z_n2
2026-07-18 12:00:00,ORMS,0.0,1.3,z_therm
2026-07-18 12:00:00,ORMS,0.5,24.417882900491477,temperature
2026-07-18 12:00:00,ORMS,1.0,23.657067912680994,temperature
2026-07-18 12:00:00,ORMS,2.0,18.780922716596336,temperature
2026-07-18 12:00:00,ORMS,3.0,17.880365340131394,temperature
2026-07-18 12:00:00,ORMS,4.0,16.51225292709792,temperature
2026-07-19 12:00:00,ORMS,0.0,0.6029775454674622,M1
2026-07-19 12:00:00,ORMS,0.0,0.1015486651658215,M2
2026-07-19 12:00:00,ORMS,0.0,20.320726636721382,Ws
2026-07-19 12:00:00,ORMS,0.0,2.4947010850113292e-05,b_var
